ID,CAS,Name,logDow,logKlip/w-neutral,logKlip/w-ionic,logDlip/w-(pH 7.40),SMILES,MolWt,HeavyAtomCount,RotatableBondCount,HBD,HBA,RingCount,Molecule_Index_in_SDF,IsValid,J
1,000110-54-3,n-hexane,3.9,3.91,0,3.91,CCCCCC,86.178,6,3,0,0,0,1,True,
2,000142-82-5,n-heptane,4.66,4.55,0,4.55,CCCCCCC,100.205,7,4,0,0,0,2,True,
3,000111-65-9,n-octane,5.18,4.67,0,4.67,CCCCCCCC,114.232,8,5,0,0,0,3,True,
4,000540-84-1,"2,2,4-trimethylpentane",4.09,4.61,0,4.61,CC(C)CC(C)(C)C,114.232,8,1,0,0,0,4,True,
5,000110-82-7,cyclohexane,3.44,3.27,0,3.27,C1CCCCC1,84.162,6,0,0,0,1,5,True,
6,000056-23-5,tetrachloromethane,2.83,2.61,0,2.61,ClC(Cl)(Cl)Cl,153.823,5,0,0,0,0,6,True,
7,000079-01-6,trichloroethene,2.42,2.43,0,2.43,ClC=C(Cl)Cl,131.389,5,0,0,0,0,7,True,
8,000127-18-4,tetrachloroethene,3.4,3.08,0,3.08,ClC(Cl)=C(Cl)Cl,165.834,6,0,0,0,0,8,True,
9,000075-25-2,tribromomethane,2.4,2.33,0,2.33,BrC(Br)Br,252.731,4,0,0,0,0,9,True,
10,000142-96-1,di-n-butyl ether,3.21,2.78,0,2.78,CCCCOCCCC,130.231,9,6,0,1,0,10,True,
11,000693-65-2,di-n-pentyl ether,4,3.77,0,3.77,CCCCCOCCCCC,158.28499999999997,11,8,0,1,0,11,True,
12,000067-64-1,acetone,-0.24,0.1,0,0.1,CC(C)=O,58.080000000000005,4,0,0,1,0,12,True,
13,000111-13-7,2-octanone,2.37,2.42,0,2.42,CCCCCCC(C)=O,128.215,9,5,0,1,0,13,True,
14,000821-55-6,2-nonanone,3.14,2.83,0,2.83,CCCCCCCC(C)=O,142.24200000000002,10,6,0,1,0,14,True,
15,000693-54-9,2-decanone,3.73,3.16,0,3.16,CCCCCCCCC(C)=O,156.269,11,7,0,1,0,15,True,
16,000120-92-3,cyclopentanone,0.38,0.3,0,0.3,O=C1CCCC1,84.118,6,0,0,1,1,16,True,
17,000108-94-1,cyclohexanone,0.81,0.54,0,0.54,O=C1CCCCC1,98.145,7,0,0,1,1,17,True,
18,000502-42-1,cycloheptanone,1.62,0.98,0,0.98,O=C1CCCCCC1,112.172,8,0,0,1,1,18,True,
19,000502-49-8,cyclooctanone,2.11,1.4,0,1.4,O=C1CCCCCCC1,126.199,9,0,0,1,1,19,True,
20,000504-02-9,"1,3-cyclohexanedione",0.43,0.49,0,0.49,O=C1CCCC(=O)C1,112.12799999999999,8,0,0,2,1,20,True,
21,000141-78-6,ethyl acetate,0.73,0.46,0,0.46,CCOC(C)=O,88.106,6,1,0,2,0,21,True,
22,000109-60-4,propyl acetate,1.24,1.01,0,1.01,CCCOC(C)=O,102.133,7,2,0,2,0,22,True,
23,000105-53-3,diethyl malonate,0.96,0.5,0,0.5,CCOC(=O)CC(=O)OCC,160.16899999999998,11,4,0,4,0,23,True,
24,000141-28-6,diethyl adipate,2.37,1.66,0,1.66,CCOC(=O)CCCCC(=O)OCC,202.24999999999997,14,7,0,4,0,24,True,
25,000141-03-7,dibutyl succinate,3.35,2.4,0,2.4,CCCCOC(=O)CCC(=O)OCCCC,230.30399999999992,16,9,0,4,0,25,True,
26,000541-35-5,butyramide,-0.21,-0.2,0,-0.2,CCCC(N)=O,87.122,6,2,1,1,0,26,True,
27,000057-13-6,urea,-2.11,-0.59,0,-0.59,NC(N)=O,60.056,4,0,2,1,0,27,True,
28,013214-66-9,4-phenylbutylamine,-0.33,2.41,2.12,2.12,NCCCCc1ccccc1,149.237,11,4,1,1,1,28,True,
29,000067-56-1,methanol,-0.77,-0.53,0,-0.53,CO,32.042,2,0,1,1,0,29,True,
30,000064-17-5,ethanol,-0.31,-0.26,0,-0.26,CCO,46.069,3,0,1,1,0,30,True,
31,000071-23-8,1-propanol,0.25,0.17,0,0.17,CCCO,60.096000000000004,4,1,1,1,0,31,True,
32,000067-63-0,2-propanol,0.05,-0.04,0,-0.04,CC(C)O,60.096000000000004,4,0,1,1,0,32,True,
33,000071-36-3,1-butanol,0.88,0.51,0,0.51,CCCCO,74.12299999999999,5,2,1,1,0,33,True,
34,000075-65-0,tert-butanol,0.35,0.16,0,0.16,CC(C)(C)O,74.12299999999999,5,0,1,1,0,34,True,
35,000071-41-0,1-pentanol,1.51,1.08,0,1.08,CCCCCO,88.14999999999999,6,3,1,1,0,35,True,
36,000584-02-1,3-pentanol,1.21,1,0,1,CCC(O)CC,88.14999999999999,6,2,1,1,0,36,True,
37,000111-27-3,1-hexanol,2.03,1.88,0,1.88,CCCCCCO,102.17699999999999,7,4,1,1,0,37,True,
38,000111-70-6,1-heptanol,2.62,2.38,0,2.38,CCCCCCCO,116.204,8,5,1,1,0,38,True,
39,000589-55-9,4-heptanol,2.22,1.7,0,1.7,CCCC(O)CCC,116.204,8,4,1,1,0,39,True,
40,027522-11-8,2-ethyl-1-pentanol,2.24,1.81,0,1.81,CCCC(CC)CO,116.20399999999998,8,4,1,1,0,40,True,
41,000600-36-2,"2,4-dimethyl-3-pentanol",2.09,1.71,0,1.71,CC(C)C(O)C(C)C,116.204,8,2,1,1,0,41,True,
42,000111-87-5,1-octanol,3,2.66,0,2.66,CCCCCCCCO,130.23100000000002,9,6,1,1,0,42,True,
43,000096-41-3,cyclopentanol,1.14,0.52,0,0.52,OC1CCCC1,86.134,6,0,1,1,1,43,True,
44,000108-93-0,cyclohexanol,1.23,1.02,0,1.02,OC1CCCCC1,100.161,7,0,1,1,1,44,True,
45,000502-41-0,cycloheptanol,2.13,1.51,0,1.51,OC1CCCCCC1,114.188,8,0,1,1,1,45,True,
46,000696-71-9,cyclooctanol,2.62,2.09,0,2.09,OC1CCCCCCC1,128.215,9,0,1,1,1,46,True,
47,000928-97-2,trans-3-hexen-1-ol,1.61,1.23,0,1.23,CC/C=C/CCO,100.161,7,3,1,1,0,47,True,
48,000928-95-0,trans-2-hexen-1-ol,1.61,1.36,0,1.36,CCC/C=C/CO,100.16099999999999,7,3,1,1,0,48,True,
49,000928-96-1,cis-3-hexen-1-ol,1.61,1.2,0,1.2,CC/C=C\CCO,100.161,7,3,1,1,0,49,True,
50,000821-41-0,5-hexen-1-ol,1.69,1.2,0,1.2,C=CCCCCO,100.16099999999999,7,4,1,1,0,50,True,
51,004938-52-7,1-hepten-3-ol,2.1,1.61,0,1.61,C=CC(O)CCCC,114.18799999999999,8,4,1,1,0,51,True,
52,000928-90-5,5-hexyn-1-ol,1.05,0.78,0,0.78,C#CCCCCO,98.14499999999998,7,3,1,1,0,52,True,
53,000107-21-1,ethylene glycol,-1.36,-0.79,0,-0.79,OCCO,62.068000000000005,4,1,2,2,0,53,True,
54,005343-92-0,"1,2-pentanediol",0.2,0.26,0,0.26,CCCC(O)CO,104.14899999999997,7,3,2,2,0,54,True,
55,000111-29-5,"1,5-pentanediol",0.27,-0.7,0,-0.7,OCCCCCO,104.14899999999999,7,4,2,2,0,55,True,
56,000625-69-4,"2,4-pentanediol",0.13,-0.3,0,-0.3,CC(O)CC(C)O,104.14899999999999,7,2,2,2,0,56,True,
57,006920-22-5,"1,2-hexanediol",0.69,0.81,0,0.81,CCCCC(O)CO,118.17599999999997,8,4,2,2,0,57,True,
58,000928-40-5,"1,5-hexanediol",0.69,-0.22,0,-0.22,CC(O)CCCCO,118.17599999999997,8,4,2,2,0,58,True,
59,000629-11-8,"1,6-hexanediol",0.76,-0.1,0,-0.1,OCCCCCCO,118.17599999999999,8,5,2,2,0,59,True,
60,000629-30-1,"1,7-heptanediol",1.26,0.32,0,0.32,OCCCCCCCO,132.203,9,6,2,2,0,60,True,
61,001117-86-8,"1,2-octanediol",1.67,1.93,0,1.93,CCCCCCC(O)CO,146.23000000000002,10,6,2,2,0,61,True,
62,000629-41-4,"1,8-octanediol",1.75,0.81,0,0.81,OCCCCCCCCO,146.23000000000002,10,7,2,2,0,62,True,
63,001460-57-7,"trans-1,2-cyclohexanediol",0.08,0.23,0,0.23,OC1CCCCC1O,116.15999999999998,8,0,2,2,1,63,True,
64,042565-22-0,"trans-1,2-cyclooctanediol",1.45,1.11,0,1.11,OC1CCCCCCC1O,144.214,10,0,2,2,1,64,True,
65,003031-66-1,"3-hexyn-2,5-diol",-0.1,-0.22,0,-0.22,CC(O)C#CC(C)O,114.14399999999996,8,0,2,2,0,65,True,
66,000056-81-5,glycerol,-1.76,-1.04,0,-1.04,OCC(O)CO,92.09400000000001,6,2,3,3,0,66,True,
67,000149-32-6,erythritol,-2.29,-1.24,0,-1.24,OC[C@@H](O)[C@@H](O)CO,122.11999999999999,8,3,4,4,0,67,True,
68,000111-76-2,2-butoxyethanol,0.83,0.6,0,0.6,CCCCOCCO,118.176,8,5,1,2,0,68,True,
69,000100-51-6,benzyl alcohol,1.1,1.14,0,1.14,OCc1ccccc1,108.13999999999997,8,1,1,1,1,69,True,
70,002270-20-4,5-phenylvaleric acid,0.52,3.06,1.66,1.66,O=C(O)CCCCc1ccccc1,178.231,13,5,1,1,1,70,True,
71,000071-43-2,benzene,2.13,2.1,0,2.1,c1ccccc1,78.11399999999999,6,0,0,0,1,71,True,
72,000106-42-3,p-xylene,3.15,2.98,0,2.98,Cc1ccc(C)cc1,106.16799999999999,8,0,0,0,1,72,True,
73,000108-90-7,chlorobenzene,2.84,2.81,0,2.81,Clc1ccccc1,112.559,7,0,0,0,1,73,True,
74,000095-50-1,"1,2-dichlorobenzene",3.43,3.64,0,3.64,Clc1ccccc1Cl,147.00400000000002,8,0,0,0,1,74,True,
