Name,p1.O__,p1.___,p2.CB2CB_.4,p2.CD3C__.2,p2.N__N__.1,p2.CD2NA3.1,p2.CD2N__.1,p2.CB_F__.1,p2.CA1O__.1,p3.CB2CB2S__.41,p3.CB2CB2OA1.41,p3.CB1C__Cl_.41,p3.NA1CD3OD_.12,p3.CA_CD3OD_.12,p3.CB_CA2N__.11,p3.CB2NA2CD_.11,p3.CA4CA4CA_.11,p3.CA4CA_CD_.11,p3.C__CD3OA1.11,p3.CA2CA2OA1.11,p3.C__C__OA1.11,p3.Cl1C__Cl1.11,p3.CA1CA_CA2.11,p3.CA1C__CA2.11,p4.CB1CB2CB2NA2.441,p4.CB1CB1CB2NA1.441,p4.CB1CB1CB2Cl1.441,p4.CB1CB2CA3CD3.411,p4.CB1CB2OA2CB2.411,p4.CB_CB_NB_CB_.444,p4.CB2CB2CB2CB2.444,p4.CA_CA_CA_OA_.111,p5._______________.4114,p5.C__C__C__C__C__.1144,p5.Br1CB2CB2CB2CB2.1444,p5.C__N__C__N__C__.1111,p5.CA1CA2CA2CA2CA2.1111,p6.C__C__C__N__C__C__.14111,p6.CB2CB2CB2OA2CB2CB2.44114,p6.CA1CB2CB1CB1CB2CA2.14441,p6.C__C__C__C__C__N__.14441,p6.CB1CB2CB1CB1CB2CB2.44444,p6.CA2CA2CA2CA2CA2CA2.11111,p6.CA1CA2CA2CA2CA2CA2.11111,s4.CB2CB1CB1CB2.441,s4.CB2Br1CB1CB1.144,s5.CA4CA1CA1CA1CB2.1111,s6.CB2CB2CB2CB2CB2CB2.14444,s6.CB2CB2CA2CB1CB1OA1.41441,s6.CB2CB2CB1Cl1CB2OA1.44141,logD_lip_w_pH74
_str1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3.91
_str2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,4.55
_str3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,4.67
_str4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61
_str5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,3.27
_str6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61
_str7,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43
_str8,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.08
_str9,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.33
_str10,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78
