Fragment,Coefficient,Abs_Coefficient,Structural_Meaning,Mechanism,Environmental_Implication,Literature_Support
p2.CB2CB_.4,1.4092772271254586,1.4092772271254586,Unknown,Not characterized in literature,Requires further study,N/A
s4.CB2Br1CB1CB1.144,-0.48989259129528623,0.48989259129528623,Unknown,Not characterized in literature,Requires further study,N/A
p1.___,0.32180601275873655,0.32180601275873655,Unknown,Not characterized in literature,Requires further study,N/A
p1.O__,-0.3153535342574489,0.3153535342574489,Ether/carbonyl oxygen (2-bonded),Moderate H-bond acceptance: weak H-bonding with lipid carbonyls,Differentiates esters (moderate partitioning) from alcohols (low partitioning),Lin et al. 2019
p6.CA1CB2CB1CB1CB2CA2.14441,0.20926666455218082,0.20926666455218082,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB2CB2CB2CB2.444,-0.20331932060109717,0.20331932060109717,Unknown,Not characterized in literature,Requires further study,N/A
p5._______________.4114,-0.18933535663570022,0.18933535663570022,Unknown,Not characterized in literature,Requires further study,N/A
p5.C__N__C__N__C__.1111,-0.18332874613386743,0.18332874613386743,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA1CA_CA2.11,0.17988537816727768,0.17988537816727768,Unknown,Not characterized in literature,Requires further study,N/A
p4.CA_CA_CA_OA_.111,-0.17357026848634466,0.17357026848634466,Unknown,Not characterized in literature,Requires further study,N/A
p6.C__C__C__C__C__N__.14441,-0.17238359097932535,0.17238359097932535,Unknown,Not characterized in literature,Requires further study,N/A
p2.N__N__.1,0.16926574123106283,0.16926574123106283,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB1CB1CB2NA1.441,-0.1681478850019651,0.1681478850019651,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB1CB2OA2CB2.411,0.1639198375890573,0.1639198375890573,Unknown,Not characterized in literature,Requires further study,N/A
s6.CB2CB2CB1Cl1CB2OA1.44141,0.15489204196918985,0.15489204196918985,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB_CB_NB_CB_.444,-0.15156571460992208,0.15156571460992208,Unknown,Not characterized in literature,Requires further study,N/A
p2.CD3C__.2,0.1493355739253922,0.1493355739253922,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA4CA4CA_.11,-0.1474606355153386,0.1474606355153386,Unknown,Not characterized in literature,Requires further study,N/A
p6.CA1CA2CA2CA2CA2CA2.11111,0.14618347341423732,0.14618347341423732,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB1CB1CB2Cl1.441,-0.13630583916893807,0.13630583916893807,Unknown,Not characterized in literature,Requires further study,N/A
p3.C__CD3OA1.11,0.1331461111351456,0.1331461111351456,Unknown,Not characterized in literature,Requires further study,N/A
p5.Br1CB2CB2CB2CB2.1444,0.12799941231290202,0.12799941231290202,Unknown,Not characterized in literature,Requires further study,N/A
p5.CA1CA2CA2CA2CA2.1111,-0.12200851106508313,0.12200851106508313,Unknown,Not characterized in literature,Requires further study,N/A
p3.CB1C__Cl_.41,0.1166897232947723,0.1166897232947723,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA2CA2OA1.11,0.11502135119556514,0.11502135119556514,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA_CD3OD_.12,-0.1128906454525465,0.1128906454525465,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB1CB2CB2NA2.441,-0.11255477955302932,0.11255477955302932,Unknown,Not characterized in literature,Requires further study,N/A
p4.CB1CB2CA3CD3.411,0.10959016107565782,0.10959016107565782,Unknown,Not characterized in literature,Requires further study,N/A
p3.CB2CB2OA1.41,-0.106701980808319,0.106701980808319,Unknown,Not characterized in literature,Requires further study,N/A
p5.C__C__C__C__C__.1144,-0.10592052528058042,0.10592052528058042,Unknown,Not characterized in literature,Requires further study,N/A
p2.CD2N__.1,-0.10437414438337078,0.10437414438337078,Unknown,Not characterized in literature,Requires further study,N/A
s6.CB2CB2CB2CB2CB2CB2.14444,0.09720455858052138,0.09720455858052138,Unknown,Not characterized in literature,Requires further study,N/A
p3.Cl1C__Cl1.11,-0.09514488074998621,0.09514488074998621,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA1C__CA2.11,-0.09405010394313697,0.09405010394313697,Unknown,Not characterized in literature,Requires further study,N/A
p3.CB2CB2S__.41,0.09258270284531293,0.09258270284531293,Unknown,Not characterized in literature,Requires further study,N/A
s6.CB2CB2CA2CB1CB1OA1.41441,-0.09207915550677609,0.09207915550677609,Unknown,Not characterized in literature,Requires further study,N/A
p3.CB_CA2N__.11,0.08871654303469124,0.08871654303469124,Unknown,Not characterized in literature,Requires further study,N/A
p3.NA1CD3OD_.12,0.08645681394824584,0.08645681394824584,Unknown,Not characterized in literature,Requires further study,N/A
p2.CA1O__.1,-0.08302231453594329,0.08302231453594329,Unknown,Not characterized in literature,Requires further study,N/A
p3.CA4CA_CD_.11,0.08105010525634204,0.08105010525634204,Unknown,Not characterized in literature,Requires further study,N/A
p6.CA2CA2CA2CA2CA2CA2.11111,-0.08076856699735448,0.08076856699735448,Unknown,Not characterized in literature,Requires further study,N/A
p3.CB2NA2CD_.11,-0.07511568763504298,0.07511568763504298,Unknown,Not characterized in literature,Requires further study,N/A
s4.CB2CB1CB1CB2.441,-0.07331840225565556,0.07331840225565556,Unknown,Not characterized in literature,Requires further study,N/A
p6.CB2CB2CB2OA2CB2CB2.44114,0.06876435402387027,0.06876435402387027,Unknown,Not characterized in literature,Requires further study,N/A
s5.CA4CA1CA1CA1CB2.1111,0.06656403578641334,0.06656403578641334,Unknown,Not characterized in literature,Requires further study,N/A
p2.CB_F__.1,-0.06367404522472536,0.06367404522472536,Aromatic C–F bond,Weak halogen bonding (low σ-hole) + high hydration energy reduce partitioning,Fluorinated aromatics partition 0.3–0.5 log units lower than chlorinated analogs,Bittermann et al. 2016
p6.CB1CB2CB1CB1CB2CB2.44444,-0.06237365237362293,0.06237365237362293,Unknown,Not characterized in literature,Requires further study,N/A
p3.C__C__OA1.11,0.055858518060779704,0.055858518060779704,Unknown,Not characterized in literature,Requires further study,N/A
p2.CD2NA3.1,0.051639851819313014,0.051639851819313014,Unknown,Not characterized in literature,Requires further study,N/A
p6.C__C__C__N__C__C__.14111,0.051002650942141584,0.051002650942141584,Unknown,Not characterized in literature,Requires further study,N/A
