Fragment,Selection_Frequency
p1.O__,1.0
p1.___,1.0
p2.CB2CB_.4,1.0
p3.CA_CD3OD_.12,1.0
p3.CB1C__Cl_.41,1.0
p3.CB2CB2OA1.41,1.0
p3.CB2NA2CD_.11,1.0
s4.CB2Br1CB1CB1.144,1.0
s4.CB2CB1CB1CB2.441,1.0
p6.CA2CA2CA2CA2CA2CA2.11111,1.0
p4.CB1CB1CB2Cl1.441,1.0
p4.CB1CB2OA2CB2.411,1.0
p4.CB_CB_NB_CB_.444,1.0
p4.CA_CA_CA_OA_.111,1.0
p5.C__C__C__C__C__.1144,1.0
p4.CB1CB1CB2NA1.441,1.0
p3.C__C__OA1.11,1.0
p3.CA2CA2OA1.11,1.0
p6.CA1CB2CB1CB1CB2CA2.14441,1.0
p6.C__C__C__N__C__C__.14111,1.0
s5.CA4CA1CA1CA1CB2.1111,1.0
p2.CD3C__.2,0.999
s6.CB2CB2CB2CB2CB2CB2.14444,0.999
p3.NA1CD3OD_.12,0.999
p3.Cl1C__Cl1.11,0.999
p4.CB2CB2CB2CB2.444,0.999
p6.C__C__C__C__C__N__.14441,0.998
p5.CA1CA2CA2CA2CA2.1111,0.997
s6.CB2CB2CB1Cl1CB2OA1.44141,0.997
p2.CA1O__.1,0.995
s6.CB2CB2CA2CB1CB1OA1.41441,0.992
p5.Br1CB2CB2CB2CB2.1444,0.992
p4.CB1CB2CA3CD3.411,0.991
p3.C__CD3OA1.11,0.989
p3.CB_CA2N__.11,0.988
p3.CA4CA4CA_.11,0.987
p5.C__N__C__N__C__.1111,0.986
p2.N__N__.1,0.986
p2.CB_F__.1,0.985
p3.CA4CA_CD_.11,0.985
p4.CB1CB2CB2NA2.441,0.984
p5._______________.4114,0.983
p6.CA1CA2CA2CA2CA2CA2.11111,0.976
p3.CA1CA_CA2.11,0.974
p6.CB1CB2CB1CB1CB2CB2.44444,0.973
p6.CB2CB2CB2OA2CB2CB2.44114,0.95
p3.CB2CB2S__.41,0.949
p2.CD2N__.1,0.9
p2.CD2NA3.1,0.847
p3.CA1C__CA2.11,0.755
