Fragment,Coefficient,Std_Error,CI_Lower_95,CI_Upper_95,p_value,Significant_p05,Significant_p01
p3.Cl1C__Cl1.11,0.09043246288303543,0.020160351602743636,0.03445835335653126,0.14640657240953958,0.010942198493418598,True,False
p1.O__,-0.48944589075239886,0.010338693051439292,-0.51815070446921,-0.46074107703558775,1.1909795796238853e-06,True,True
p3.CB2CB2OA1.41,-0.027610546480482317,0.010528130136680554,-0.056841321865354476,0.0016202289043898421,0.05864232169044148,False,False
p2.CB2CB_.4,1.1434184490982227,0.012437389269528592,1.1088867205394004,1.177950177657045,8.392761707831653e-08,True,True
p1.___,0.35284405844515676,0.02028708501013739,0.29651808057002915,0.40917003632028437,6.41486511037126e-05,True,True
p3.CB1C__Cl_.41,0.21000628698167279,0.014216269187716835,0.17053559598126208,0.2494769779820835,0.00012223960797008715,True,True
p2.N__N__.1,0.07034294946471549,0.010746126784843683,0.04050691835310129,0.1001789805763297,0.0028155052030682803,True,True
p4.CB1CB2CB2NA2.441,-0.08525966225810158,0.02315392847159888,-0.14954527362917225,-0.02097405088703093,0.021161225736947786,True,False
p2.CB_F__.1,-0.09983823655633724,0.022774667306759564,-0.16307085012269817,-0.036605622989976314,0.011840281902442129,True,False
p5.Br1CB2CB2CB2CB2.1444,0.056404971961339936,0.01856735955757482,0.004853717401263759,0.10795622652141612,0.03848296313382593,True,False
